name,ingredients,cuisine,instructions
Tomato Pasta,"tomato cheese pasta garlic onion",Italian,"Boil pasta and mix sauce"
Veg Fried Rice,"rice carrot beans onion garlic",Chinese,"Cook rice and fry vegetables"
Cheese Pizza,"tomato cheese oregano flour onion",Italian,"Bake pizza dough with toppings"
Paneer Curry,"paneer tomato onion cream spices",Indian,"Cook paneer in gravy"
Garlic Noodles,"noodles garlic onion soy sauce",Chinese,"Stir fry noodles"
Chicken Biryani,"chicken rice onion spices yogurt",Indian,"Cook chicken with rice"
Veg Sandwich,"bread tomato onion cheese butter",Fast Food,"Assemble and grill"
Mushroom Soup,"mushroom cream garlic onion butter",Continental,"Boil and blend ingredients"
Aloo Paratha,"potato wheat flour butter spices",Indian,"Stuff and cook paratha"
Masala Dosa,"rice potato onion spices",South Indian,"Prepare dosa and stuffing"
Chole Bhature,"chickpeas onion tomato spices flour",Indian,"Cook chole and fry bhature"
Pav Bhaji,"potato tomato peas butter onion",Indian,"Mash vegetables and serve with pav"
Spring Rolls,"cabbage carrot onion flour sauce",Chinese,"Roll and fry vegetables"
White Sauce Pasta,"pasta milk cheese garlic butter",Italian,"Cook pasta with white sauce"
Tandoori Chicken,"chicken yogurt spices garlic",Indian,"Marinate and grill chicken"
Veg Pulao,"rice peas carrot beans spices",Indian,"Cook vegetables with rice"
Manchurian,"cabbage carrot garlic soy sauce",Chinese,"Fry balls and prepare sauce"
Chocolate Cake,"flour cocoa sugar butter milk",Dessert,"Bake chocolate cake"
Fruit Salad,"apple banana mango grapes",Dessert,"Mix chopped fruits"
Omelette,"egg onion tomato butter",Breakfast,"Cook beaten eggs"
Poha,"flattened rice onion peanuts spices",Indian,"Cook poha with spices"
Idli,"rice urad dal salt",South Indian,"Steam fermented batter"
Samosa,"potato flour peas spices",Indian,"Stuff and fry samosas"
Burger,"bread potato tomato onion cheese",Fast Food,"Assemble burger and grill"
French Fries,"potato oil salt",Fast Food,"Deep fry potato strips"
Caesar Salad,"lettuce cheese croutons olive oil",Continental,"Mix salad ingredients"
Matar Paneer,"paneer peas tomato onion spices",Indian,"Cook paneer and peas curry"
Palak Paneer,"spinach paneer garlic onion cream",Indian,"Cook spinach gravy with paneer"
Rajma Chawal,"kidney beans rice onion tomato",Indian,"Cook rajma and serve with rice"
Chicken Curry,"chicken onion tomato garlic spices",Indian,"Cook chicken in gravy"
Fish Fry,"fish turmeric chili oil",Seafood,"Marinate and fry fish"
Pancakes,"flour milk egg butter sugar",Breakfast,"Cook pancakes on pan"
Hot Coffee,"coffee milk sugar",Beverage,"Boil and mix ingredients"
Cold Coffee,"coffee milk ice cream sugar",Beverage,"Blend all ingredients"
Mango Shake,"mango milk sugar",Beverage,"Blend mango with milk"
Banana Smoothie,"banana milk honey",Beverage,"Blend banana and milk"
Veg Momos,"flour cabbage carrot onion",Chinese,"Steam stuffed momos"
Hakka Noodles,"noodles cabbage carrot soy sauce",Chinese,"Stir fry noodles"
Butter Chicken,"chicken butter tomato cream",Indian,"Cook chicken in butter gravy"
Dal Tadka,"lentils onion garlic tomato spices",Indian,"Cook lentils and temper spices"
Upma,"semolina onion curry leaves spices",South Indian,"Cook roasted semolina"
Rava Dhokla,"semolina yogurt mustard seeds",Gujarati,"Steam batter and temper"
Khaman,"gram flour yogurt sugar",Gujarati,"Steam gram flour batter"
Thepla,"wheat flour fenugreek yogurt spices",Gujarati,"Cook flatbread on tawa"
Undhiyu,"mixed vegetables spices oil",Gujarati,"Cook mixed vegetables slowly"
Handvo,"rice lentils yogurt bottle gourd",Gujarati,"Bake savory cake"
Sev Usal,"peas onion tomato sev",Gujarati,"Cook peas curry and top with sev"
Khichdi,"rice lentils turmeric ghee",Indian,"Cook rice and lentils together"
Curd Rice,"rice yogurt mustard curry leaves",South Indian,"Mix rice with curd"
Medu Vada,"urad dal onion curry leaves",South Indian,"Fry lentil batter donuts"
Egg Curry,"egg onion tomato spices",Indian,"Cook eggs in curry"
Paneer Tikka,"paneer yogurt spices capsicum",Indian,"Grill marinated paneer"
Chicken Tikka,"chicken yogurt spices lemon",Indian,"Grill marinated chicken"
Veg Biryani,"rice carrot beans peas spices",Indian,"Cook vegetables with rice"
Shahi Paneer,"paneer cream tomato butter",Indian,"Cook paneer in rich gravy"
Gulab Jamun,"milk powder sugar flour",Dessert,"Fry balls and soak in syrup"
Rasgulla,"milk sugar cardamom",Dessert,"Boil chenna balls in syrup"
Jalebi,"flour sugar saffron yogurt",Dessert,"Fry batter and soak in syrup"
Ice Cream Sundae,"ice cream chocolate nuts syrup",Dessert,"Assemble sundae"
